Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
U_DCDC_ISO_5Vto5V_1W_SMT	U_DCDC_ISO_5Pin		ISO DCDC 5V/5V 1W	Standard	Standard	5-SMD Module	5		SM_DCDC_ISO_1W	DC-DC CONV ISO 5V/5V 1W				5V/5V	0.2A	1W	Murata	MTE1S0505MC	Digi-Key	811-2826-5-ND	Recom	R1SE-0505/H2-R	Digi-Key	945-2272-1-ND		
U_DS2431_6TSOC	DS2431		DS2431P+	Standard	Standard	6-TSOC	8		D6+1	EEPROM							Maxim	DS2431P+T&R	Digi-Key	DS2431P+T&RCT-ND					Flex-D6+1	
U_ESD_U_TPD2E001_DRL	U_ESD_TPD2E001		TPD2E001DRL	Standard	Standard	5-SOT-FL	5		SM_DRL5_N	Low-Capacitance 2-Channel ESD-Protection							Texas Instruments	TPD2E001DRLR	Digi-Key	296-21883-1-ND					Flex_TSOP65P640-8AM	
U_ESP32-WROOM-32_16MB	U_ESP32-WROOM		ESP-WROOM-32D (16MB)	Standard	Standard	Module	39		SM_ESP32-WROOM	WIFI MODULE 16M FLASH INT.ANT.							Espressif Systems	ESP-WROOM-32 (16MB)	Digi-Key	1904-1020-1-ND	Espressif Systems	ESP32-WROOM-32D (16MB)	Digi-Key	1904-1025-1-ND		
U_ESP32-WROOM-32U_16MB	U_ESP32-WROOM		ESP32-WROOM-32U (16MB)	Standard	Standard	Module	39		SM_ESP32-WROOM	WIFI MODULE 16M FLASH EXT.ANT.							Espressif Systems	ESP32-WROOM-32U (16MB)	Digi-Key	1904-1028-1-ND						
U_ESP32-WROVER_16MB	U_ESP32-WROVER		ESP32-WROVER (16MB)	Standard	Standard	Module	39		SM_ESP32-WROVER	WIFI MODULE 16M 4M-RAM INT.ANT.							Espressif Systems	ESP32-WROVER (16MB)	Digi-Key	1904-1015-1-ND	Espressif Systems	ESP32-WROVER-E (16MB)	Digi-Key	1965-ESP32-WROVER-E(16MBFLASH)CT-ND		
U_ESP32-WROVER-I_16MB	U_ESP32-WROVER		ESP32-WROVER-I (16MB)	Standard	Standard	Module	39		SM_ESP32-WROVER	WIFI MODULE 16M 4M-RAM EXT.ANT.							Espressif Systems	ESP32-WROVER-I (16MB)	Digi-Key	1904-1017-1-ND						
U_FT232RL	U_FT232RL		FT232RL	Standard	Standard	28-SSOP	28		SM_SSOP-28_M	IC USB FS SERIAL UART 28-SSOP							FTDI	FT232RL-REEL	Digi-Key	768-1007-1-ND						
U_HCNR201-SO8-Wide	U_ISO_LINEAR		HCNR201	Standard	Standard	8-SO	8		SM_SO-08-Wide	IC Linear Opto Isolator							Broadcom	HCNR201-300E	Digi-Key	516-1609-5-ND						
U_INA159	U_INA159		INA159AIDGK	Standard	Standard	MSOP-8	8		SM_DGK8-M	"I.C., Differential Amplifier"							Texas Instruments	INA159AIDGKT	Digi-Key	296-18688-1-ND						
U_INA196	U_INA196		INA196	Standard	Standard	SOT23-5	5		SOT23-5	Current Shunt Monitor IC							Texas Instruments	INA196AIDBVT	Digi-Key	296-17166-2-ND						
U_INA213	U_INA213		INA213BIDCKR	Standard	Standard	SC70-6	6		SM_SC70-6	"I.C., Current Monitor"							Texas Instruments	INA213BIDCKR	Digi-Key	296-40129-1-ND					SM_SC70-6_M	
U_IRS2127S	U_IRS2127		IRS2127SPBF	Standard	Standard	8-SOIC	8		SM_SOIC-8-4mm-N	IC DVR CURRENT SENSE 1CH 8SOIC				20V	290mA		Infineon Technologies	IRS2127SPBF	Digi-Key	IRS2127SPBF-ND						
U_KSZ8794CNX	U_KSZ8794CNX		KSZ8794CNX	Standard	Standard	VFQFV-64	64			4-port Ethernet Switch IC				3.3V			Microchip Technology	KSZ8794CNXCC	Mouser	998-KSZ8794CNXCC						
